source_seqid	gff_seqid	canonical_seqid	assembly_unit_id	haplotype	length_bp	annotation_feature_rows	gene_rows	annotation_status	sequence_class
Lco1464_v1.0_h1tg000042l	Lco1464_v1.0_h1tg000042l	Lco1464_v1.0_h1tg000042l	leea_coccinea_lco1464_h1	h1	35158	4	1	annotated	publisher_hifiasm_contig_no_chromosome_assignment
Lco1464_v1.0_h1tg000043l		Lco1464_v1.0_h1tg000043l	leea_coccinea_lco1464_h1	h1	79327	0	0	no_gff_features	publisher_hifiasm_contig_no_chromosome_assignment
Lco1464_v1.0_h1tg000044l		Lco1464_v1.0_h1tg000044l	leea_coccinea_lco1464_h1	h1	31977	0	0	no_gff_features	publisher_hifiasm_contig_no_chromosome_assignment
Lco1464_v1.0_h1tg000045l	Lco1464_v1.0_h1tg000045l	Lco1464_v1.0_h1tg000045l	leea_coccinea_lco1464_h1	h1	41014	4	1	annotated	publisher_hifiasm_contig_no_chromosome_assignment
Lco1464_v1.0_h1tg000046l	Lco1464_v1.0_h1tg000046l	Lco1464_v1.0_h1tg000046l	leea_coccinea_lco1464_h1	h1	100084	9	2	annotated	publisher_hifiasm_contig_no_chromosome_assignment
Lco1464_v1.0_h1tg000047l		Lco1464_v1.0_h1tg000047l	leea_coccinea_lco1464_h1	h1	73063	0	0	no_gff_features	publisher_hifiasm_contig_no_chromosome_assignment
Lco1464_v1.0_h1tg000048l	Lco1464_v1.0_h1tg000048l	Lco1464_v1.0_h1tg000048l	leea_coccinea_lco1464_h1	h1	37983	6	1	annotated	publisher_hifiasm_contig_no_chromosome_assignment
Lco1464_v1.0_h1tg000049l	Lco1464_v1.0_h1tg000049l	Lco1464_v1.0_h1tg000049l	leea_coccinea_lco1464_h1	h1	30871	4	1	annotated	publisher_hifiasm_contig_no_chromosome_assignment
Lco1464_v1.0_h1tg000050l		Lco1464_v1.0_h1tg000050l	leea_coccinea_lco1464_h1	h1	31245	0	0	no_gff_features	publisher_hifiasm_contig_no_chromosome_assignment
Lco1464_v1.0_h1tg000051l	Lco1464_v1.0_h1tg000051l	Lco1464_v1.0_h1tg000051l	leea_coccinea_lco1464_h1	h1	25027	4	1	annotated	publisher_hifiasm_contig_no_chromosome_assignment
Lco1464_v1.0_h1tg000052l	Lco1464_v1.0_h1tg000052l	Lco1464_v1.0_h1tg000052l	leea_coccinea_lco1464_h1	h1	47175	6	1	annotated	publisher_hifiasm_contig_no_chromosome_assignment
Lco1464_v1.0_h1tg000053l	Lco1464_v1.0_h1tg000053l	Lco1464_v1.0_h1tg000053l	leea_coccinea_lco1464_h1	h1	29471	4	1	annotated	publisher_hifiasm_contig_no_chromosome_assignment
Lco1464_v1.0_h1tg000054l	Lco1464_v1.0_h1tg000054l	Lco1464_v1.0_h1tg000054l	leea_coccinea_lco1464_h1	h1	19869	8	2	annotated	publisher_hifiasm_contig_no_chromosome_assignment
Lco1464_v1.0_h1tg000055l		Lco1464_v1.0_h1tg000055l	leea_coccinea_lco1464_h1	h1	25192	0	0	no_gff_features	publisher_hifiasm_contig_no_chromosome_assignment
Lco1464_v1.0_h1tg000056l	Lco1464_v1.0_h1tg000056l	Lco1464_v1.0_h1tg000056l	leea_coccinea_lco1464_h1	h1	33470	4	1	annotated	publisher_hifiasm_contig_no_chromosome_assignment
Lco1464_v1.0_h1tg000057l		Lco1464_v1.0_h1tg000057l	leea_coccinea_lco1464_h1	h1	19906	0	0	no_gff_features	publisher_hifiasm_contig_no_chromosome_assignment
Lco1464_v1.0_h1tg000058l		Lco1464_v1.0_h1tg000058l	leea_coccinea_lco1464_h1	h1	32435	0	0	no_gff_features	publisher_hifiasm_contig_no_chromosome_assignment
Lco1464_v1.0_h1tg000059l		Lco1464_v1.0_h1tg000059l	leea_coccinea_lco1464_h1	h1	40621	0	0	no_gff_features	publisher_hifiasm_contig_no_chromosome_assignment
Lco1464_v1.0_h1tg000060l	Lco1464_v1.0_h1tg000060l	Lco1464_v1.0_h1tg000060l	leea_coccinea_lco1464_h1	h1	31542	4	1	annotated	publisher_hifiasm_contig_no_chromosome_assignment
Lco1464_v1.0_h1tg000061l		Lco1464_v1.0_h1tg000061l	leea_coccinea_lco1464_h1	h1	36457	0	0	no_gff_features	publisher_hifiasm_contig_no_chromosome_assignment
Lco1464_v1.0_h1tg000062l		Lco1464_v1.0_h1tg000062l	leea_coccinea_lco1464_h1	h1	36124	0	0	no_gff_features	publisher_hifiasm_contig_no_chromosome_assignment
Lco1464_v1.0_h1tg000063l		Lco1464_v1.0_h1tg000063l	leea_coccinea_lco1464_h1	h1	23833	0	0	no_gff_features	publisher_hifiasm_contig_no_chromosome_assignment
Lco1464_v1.0_h2tg000001l	Lco1464_v1.0_h2tg000001l	Lco1464_v1.0_h2tg000001l	leea_coccinea_lco1464_h2	h2	54319948	28944	2547	annotated	publisher_hifiasm_contig_no_chromosome_assignment
Lco1464_v1.0_h2tg000002l	Lco1464_v1.0_h2tg000002l	Lco1464_v1.0_h2tg000002l	leea_coccinea_lco1464_h2	h2	45010491	25325	2275	annotated	publisher_hifiasm_contig_no_chromosome_assignment
Lco1464_v1.0_h2tg000003l	Lco1464_v1.0_h2tg000003l	Lco1464_v1.0_h2tg000003l	leea_coccinea_lco1464_h2	h2	37307220	17705	1661	annotated	publisher_hifiasm_contig_no_chromosome_assignment
Lco1464_v1.0_h2tg000004l	Lco1464_v1.0_h2tg000004l	Lco1464_v1.0_h2tg000004l	leea_coccinea_lco1464_h2	h2	49606914	34826	2713	annotated	publisher_hifiasm_contig_no_chromosome_assignment
Lco1464_v1.0_h2tg000005l	Lco1464_v1.0_h2tg000005l	Lco1464_v1.0_h2tg000005l	leea_coccinea_lco1464_h2	h2	44570253	16224	1712	annotated	publisher_hifiasm_contig_no_chromosome_assignment
Lco1464_v1.0_h2tg000006l	Lco1464_v1.0_h2tg000006l	Lco1464_v1.0_h2tg000006l	leea_coccinea_lco1464_h2	h2	24304453	16569	1396	annotated	publisher_hifiasm_contig_no_chromosome_assignment
Lco1464_v1.0_h2tg000007l	Lco1464_v1.0_h2tg000007l	Lco1464_v1.0_h2tg000007l	leea_coccinea_lco1464_h2	h2	81444	18	4	annotated	publisher_hifiasm_contig_no_chromosome_assignment
Lco1464_v1.0_h2tg000008l	Lco1464_v1.0_h2tg000008l	Lco1464_v1.0_h2tg000008l	leea_coccinea_lco1464_h2	h2	7327029	1865	219	annotated	publisher_hifiasm_contig_no_chromosome_assignment
Lco1464_v1.0_h2tg000009l	Lco1464_v1.0_h2tg000009l	Lco1464_v1.0_h2tg000009l	leea_coccinea_lco1464_h2	h2	42685664	28962	2381	annotated	publisher_hifiasm_contig_no_chromosome_assignment
Lco1464_v1.0_h2tg000010l	Lco1464_v1.0_h2tg000010l	Lco1464_v1.0_h2tg000010l	leea_coccinea_lco1464_h2	h2	38380286	15298	1455	annotated	publisher_hifiasm_contig_no_chromosome_assignment
Lco1464_v1.0_h2tg000011l	Lco1464_v1.0_h2tg000011l	Lco1464_v1.0_h2tg000011l	leea_coccinea_lco1464_h2	h2	43820822	21282	1828	annotated	publisher_hifiasm_contig_no_chromosome_assignment
Lco1464_v1.0_h2tg000012l	Lco1464_v1.0_h2tg000012l	Lco1464_v1.0_h2tg000012l	leea_coccinea_lco1464_h2	h2	38190325	24020	2002	annotated	publisher_hifiasm_contig_no_chromosome_assignment
Lco1464_v1.0_h2tg000013l	Lco1464_v1.0_h2tg000013l	Lco1464_v1.0_h2tg000013l	leea_coccinea_lco1464_h2	h2	52281067	16305	1762	annotated	publisher_hifiasm_contig_no_chromosome_assignment
Lco1464_v1.0_h2tg000014l	Lco1464_v1.0_h2tg000014l	Lco1464_v1.0_h2tg000014l	leea_coccinea_lco1464_h2	h2	11411800	2651	354	annotated	publisher_hifiasm_contig_no_chromosome_assignment
Lco1464_v1.0_h2tg000015l	Lco1464_v1.0_h2tg000015l	Lco1464_v1.0_h2tg000015l	leea_coccinea_lco1464_h2	h2	9897623	3539	376	annotated	publisher_hifiasm_contig_no_chromosome_assignment
Lco1464_v1.0_h2tg000016l	Lco1464_v1.0_h2tg000016l	Lco1464_v1.0_h2tg000016l	leea_coccinea_lco1464_h2	h2	27380890	10275	1075	annotated	publisher_hifiasm_contig_no_chromosome_assignment
Lco1464_v1.0_h2tg000017l	Lco1464_v1.0_h2tg000017l	Lco1464_v1.0_h2tg000017l	leea_coccinea_lco1464_h2	h2	99495	26	5	annotated	publisher_hifiasm_contig_no_chromosome_assignment
Lco1464_v1.0_h2tg000018l	Lco1464_v1.0_h2tg000018l	Lco1464_v1.0_h2tg000018l	leea_coccinea_lco1464_h2	h2	7351579	2258	410	annotated	publisher_hifiasm_contig_no_chromosome_assignment
Lco1464_v1.0_h2tg000019l	Lco1464_v1.0_h2tg000019l	Lco1464_v1.0_h2tg000019l	leea_coccinea_lco1464_h2	h2	359284	20	5	annotated	publisher_hifiasm_contig_no_chromosome_assignment
Lco1464_v1.0_h2tg000020l	Lco1464_v1.0_h2tg000020l	Lco1464_v1.0_h2tg000020l	leea_coccinea_lco1464_h2	h2	7319681	8478	596	annotated	publisher_hifiasm_contig_no_chromosome_assignment
Lco1464_v1.0_h2tg000021l	Lco1464_v1.0_h2tg000021l	Lco1464_v1.0_h2tg000021l	leea_coccinea_lco1464_h2	h2	133558	9	2	annotated	publisher_hifiasm_contig_no_chromosome_assignment
Lco1464_v1.0_h2tg000022l	Lco1464_v1.0_h2tg000022l	Lco1464_v1.0_h2tg000022l	leea_coccinea_lco1464_h2	h2	51855	34	3	annotated	publisher_hifiasm_contig_no_chromosome_assignment
Lco1464_v1.0_h2tg000023l	Lco1464_v1.0_h2tg000023l	Lco1464_v1.0_h2tg000023l	leea_coccinea_lco1464_h2	h2	527259	36	9	annotated	publisher_hifiasm_contig_no_chromosome_assignment
Lco1464_v1.0_h2tg000024l	Lco1464_v1.0_h2tg000024l	Lco1464_v1.0_h2tg000024l	leea_coccinea_lco1464_h2	h2	194988	27	5	annotated	publisher_hifiasm_contig_no_chromosome_assignment
Lco1464_v1.0_h2tg000025l	Lco1464_v1.0_h2tg000025l	Lco1464_v1.0_h2tg000025l	leea_coccinea_lco1464_h2	h2	61127	4	1	annotated	publisher_hifiasm_contig_no_chromosome_assignment
Lco1464_v1.0_h2tg000026l	Lco1464_v1.0_h2tg000026l	Lco1464_v1.0_h2tg000026l	leea_coccinea_lco1464_h2	h2	1718373	1717	133	annotated	publisher_hifiasm_contig_no_chromosome_assignment
Lco1464_v1.0_h2tg000027l	Lco1464_v1.0_h2tg000027l	Lco1464_v1.0_h2tg000027l	leea_coccinea_lco1464_h2	h2	367778	50	9	annotated	publisher_hifiasm_contig_no_chromosome_assignment
Lco1464_v1.0_h2tg000028l		Lco1464_v1.0_h2tg000028l	leea_coccinea_lco1464_h2	h2	122431	0	0	no_gff_features	publisher_hifiasm_contig_no_chromosome_assignment
Lco1464_v1.0_h2tg000029l	Lco1464_v1.0_h2tg000029l	Lco1464_v1.0_h2tg000029l	leea_coccinea_lco1464_h2	h2	482569	110	14	annotated	publisher_hifiasm_contig_no_chromosome_assignment
Lco1464_v1.0_h2tg000030l	Lco1464_v1.0_h2tg000030l	Lco1464_v1.0_h2tg000030l	leea_coccinea_lco1464_h2	h2	247778	40	8	annotated	publisher_hifiasm_contig_no_chromosome_assignment
Lco1464_v1.0_h2tg000031l	Lco1464_v1.0_h2tg000031l	Lco1464_v1.0_h2tg000031l	leea_coccinea_lco1464_h2	h2	157116	10	2	annotated	publisher_hifiasm_contig_no_chromosome_assignment
Lco1464_v1.0_h2tg000032l		Lco1464_v1.0_h2tg000032l	leea_coccinea_lco1464_h2	h2	679108	0	0	no_gff_features	publisher_hifiasm_contig_no_chromosome_assignment
Lco1464_v1.0_h2tg000033c	Lco1464_v1.0_h2tg000033c	Lco1464_v1.0_h2tg000033c	leea_coccinea_lco1464_h2	h2	224456	104	26	annotated	publisher_hifiasm_contig_no_chromosome_assignment
Lco1464_v1.0_h2tg000034c	Lco1464_v1.0_h2tg000034c	Lco1464_v1.0_h2tg000034c	leea_coccinea_lco1464_h2	h2	126186	64	16	annotated	publisher_hifiasm_contig_no_chromosome_assignment
Lco1464_v1.0_h2tg000035l	Lco1464_v1.0_h2tg000035l	Lco1464_v1.0_h2tg000035l	leea_coccinea_lco1464_h2	h2	57958	26	3	annotated	publisher_hifiasm_contig_no_chromosome_assignment
Lco1464_v1.0_h2tg000036l	Lco1464_v1.0_h2tg000036l	Lco1464_v1.0_h2tg000036l	leea_coccinea_lco1464_h2	h2	360293	58	14	annotated	publisher_hifiasm_contig_no_chromosome_assignment
Lco1464_v1.0_h2tg000037l	Lco1464_v1.0_h2tg000037l	Lco1464_v1.0_h2tg000037l	leea_coccinea_lco1464_h2	h2	62106	10	2	annotated	publisher_hifiasm_contig_no_chromosome_assignment
Lco1464_v1.0_h2tg000038l		Lco1464_v1.0_h2tg000038l	leea_coccinea_lco1464_h2	h2	71036	0	0	no_gff_features	publisher_hifiasm_contig_no_chromosome_assignment
Lco1464_v1.0_h2tg000039l	Lco1464_v1.0_h2tg000039l	Lco1464_v1.0_h2tg000039l	leea_coccinea_lco1464_h2	h2	141714	88	9	annotated	publisher_hifiasm_contig_no_chromosome_assignment
Lco1464_v1.0_h2tg000040l	Lco1464_v1.0_h2tg000040l	Lco1464_v1.0_h2tg000040l	leea_coccinea_lco1464_h2	h2	109852	136	8	annotated	publisher_hifiasm_contig_no_chromosome_assignment
Lco1464_v1.0_h2tg000041l	Lco1464_v1.0_h2tg000041l	Lco1464_v1.0_h2tg000041l	leea_coccinea_lco1464_h2	h2	60180	23	2	annotated	publisher_hifiasm_contig_no_chromosome_assignment
Lco1464_v1.0_h2tg000042l	Lco1464_v1.0_h2tg000042l	Lco1464_v1.0_h2tg000042l	leea_coccinea_lco1464_h2	h2	186248	35	5	annotated	publisher_hifiasm_contig_no_chromosome_assignment
Lco1464_v1.0_h2tg000043l		Lco1464_v1.0_h2tg000043l	leea_coccinea_lco1464_h2	h2	185458	0	0	no_gff_features	publisher_hifiasm_contig_no_chromosome_assignment
Lco1464_v1.0_h2tg000044l		Lco1464_v1.0_h2tg000044l	leea_coccinea_lco1464_h2	h2	85652	0	0	no_gff_features	publisher_hifiasm_contig_no_chromosome_assignment
Lco1464_v1.0_h2tg000045l	Lco1464_v1.0_h2tg000045l	Lco1464_v1.0_h2tg000045l	leea_coccinea_lco1464_h2	h2	60087	6	1	annotated	publisher_hifiasm_contig_no_chromosome_assignment
Lco1464_v1.0_h2tg000046l		Lco1464_v1.0_h2tg000046l	leea_coccinea_lco1464_h2	h2	34012	0	0	no_gff_features	publisher_hifiasm_contig_no_chromosome_assignment
Lco1464_v1.0_h2tg000047l	Lco1464_v1.0_h2tg000047l	Lco1464_v1.0_h2tg000047l	leea_coccinea_lco1464_h2	h2	232978	34	8	annotated	publisher_hifiasm_contig_no_chromosome_assignment
Lco1464_v1.0_h2tg000048l	Lco1464_v1.0_h2tg000048l	Lco1464_v1.0_h2tg000048l	leea_coccinea_lco1464_h2	h2	55065	22	3	annotated	publisher_hifiasm_contig_no_chromosome_assignment
Lco1464_v1.0_h2tg000049l	Lco1464_v1.0_h2tg000049l	Lco1464_v1.0_h2tg000049l	leea_coccinea_lco1464_h2	h2	65267	18	4	annotated	publisher_hifiasm_contig_no_chromosome_assignment
Lco1464_v1.0_h2tg000050l	Lco1464_v1.0_h2tg000050l	Lco1464_v1.0_h2tg000050l	leea_coccinea_lco1464_h2	h2	113192	16	4	annotated	publisher_hifiasm_contig_no_chromosome_assignment
Lco1464_v1.0_h2tg000051l	Lco1464_v1.0_h2tg000051l	Lco1464_v1.0_h2tg000051l	leea_coccinea_lco1464_h2	h2	96520	36	4	annotated	publisher_hifiasm_contig_no_chromosome_assignment
Lco1464_v1.0_h2tg000052l	Lco1464_v1.0_h2tg000052l	Lco1464_v1.0_h2tg000052l	leea_coccinea_lco1464_h2	h2	60954	30	4	annotated	publisher_hifiasm_contig_no_chromosome_assignment
Lco1464_v1.0_h2tg000053l		Lco1464_v1.0_h2tg000053l	leea_coccinea_lco1464_h2	h2	34541	0	0	no_gff_features	publisher_hifiasm_contig_no_chromosome_assignment
Lco1464_v1.0_h2tg000054l	Lco1464_v1.0_h2tg000054l	Lco1464_v1.0_h2tg000054l	leea_coccinea_lco1464_h2	h2	56898	61	6	annotated	publisher_hifiasm_contig_no_chromosome_assignment
Lco1464_v1.0_h2tg000055l	Lco1464_v1.0_h2tg000055l	Lco1464_v1.0_h2tg000055l	leea_coccinea_lco1464_h2	h2	130459	16	4	annotated	publisher_hifiasm_contig_no_chromosome_assignment
Lco1464_v1.0_h2tg000056l	Lco1464_v1.0_h2tg000056l	Lco1464_v1.0_h2tg000056l	leea_coccinea_lco1464_h2	h2	147299	12	3	annotated	publisher_hifiasm_contig_no_chromosome_assignment
Lco1464_v1.0_h2tg000057l	Lco1464_v1.0_h2tg000057l	Lco1464_v1.0_h2tg000057l	leea_coccinea_lco1464_h2	h2	100099	9	2	annotated	publisher_hifiasm_contig_no_chromosome_assignment
Lco1464_v1.0_h2tg000058c	Lco1464_v1.0_h2tg000058c	Lco1464_v1.0_h2tg000058c	leea_coccinea_lco1464_h2	h2	68822	34	6	annotated	publisher_hifiasm_contig_no_chromosome_assignment
Lco1464_v1.0_h2tg000059l		Lco1464_v1.0_h2tg000059l	leea_coccinea_lco1464_h2	h2	92758	0	0	no_gff_features	publisher_hifiasm_contig_no_chromosome_assignment
Lco1464_v1.0_h2tg000060l	Lco1464_v1.0_h2tg000060l	Lco1464_v1.0_h2tg000060l	leea_coccinea_lco1464_h2	h2	58157	8	2	annotated	publisher_hifiasm_contig_no_chromosome_assignment
Lco1464_v1.0_h2tg000061l	Lco1464_v1.0_h2tg000061l	Lco1464_v1.0_h2tg000061l	leea_coccinea_lco1464_h2	h2	55263	12	3	annotated	publisher_hifiasm_contig_no_chromosome_assignment
Lco1464_v1.0_h2tg000062l		Lco1464_v1.0_h2tg000062l	leea_coccinea_lco1464_h2	h2	46027	0	0	no_gff_features	publisher_hifiasm_contig_no_chromosome_assignment
Lco1464_v1.0_h2tg000063l	Lco1464_v1.0_h2tg000063l	Lco1464_v1.0_h2tg000063l	leea_coccinea_lco1464_h2	h2	35158	4	1	annotated	publisher_hifiasm_contig_no_chromosome_assignment
Lco1464_v1.0_h2tg000064l		Lco1464_v1.0_h2tg000064l	leea_coccinea_lco1464_h2	h2	31977	0	0	no_gff_features	publisher_hifiasm_contig_no_chromosome_assignment
