reference_map_id	reference_id	reference_role	reference_scope_id	reference_chromosome	canonical_chromosome	status
hongyang_v4_hy4a_map_v1	act_chinensis_hongyang_v4_hy4a	primary_coordinate_reference	hongyang_v4_hy4a_29_chromosomes	Chr18A	Chr18	verified
hongyang_v4_hy4a_map_v1	act_chinensis_hongyang_v4_hy4a	primary_coordinate_reference	hongyang_v4_hy4a_29_chromosomes	Chr19A	Chr19	verified
hongyang_v4_hy4a_map_v1	act_chinensis_hongyang_v4_hy4a	primary_coordinate_reference	hongyang_v4_hy4a_29_chromosomes	Chr20A	Chr20	verified
hongyang_v4_hy4a_map_v1	act_chinensis_hongyang_v4_hy4a	primary_coordinate_reference	hongyang_v4_hy4a_29_chromosomes	Chr21A	Chr21	verified
hongyang_v4_hy4a_map_v1	act_chinensis_hongyang_v4_hy4a	primary_coordinate_reference	hongyang_v4_hy4a_29_chromosomes	Chr22A	Chr22	verified
hongyang_v4_hy4a_map_v1	act_chinensis_hongyang_v4_hy4a	primary_coordinate_reference	hongyang_v4_hy4a_29_chromosomes	Chr23A	Chr23	verified
hongyang_v4_hy4a_map_v1	act_chinensis_hongyang_v4_hy4a	primary_coordinate_reference	hongyang_v4_hy4a_29_chromosomes	Chr24A	Chr24	verified
hongyang_v4_hy4a_map_v1	act_chinensis_hongyang_v4_hy4a	primary_coordinate_reference	hongyang_v4_hy4a_29_chromosomes	Chr25A	Chr25	verified
hongyang_v4_hy4a_map_v1	act_chinensis_hongyang_v4_hy4a	primary_coordinate_reference	hongyang_v4_hy4a_29_chromosomes	Chr26A	Chr26	verified
hongyang_v4_hy4a_map_v1	act_chinensis_hongyang_v4_hy4a	primary_coordinate_reference	hongyang_v4_hy4a_29_chromosomes	Chr27A	Chr27	verified
hongyang_v4_hy4a_map_v1	act_chinensis_hongyang_v4_hy4a	primary_coordinate_reference	hongyang_v4_hy4a_29_chromosomes	Chr28A	Chr28	verified
hongyang_v4_hy4a_map_v1	act_chinensis_hongyang_v4_hy4a	primary_coordinate_reference	hongyang_v4_hy4a_29_chromosomes	Chr29A	Chr29	verified
hongyang_v4_hy4p_map_v1	act_chinensis_hongyang_v4_hy4p	independent_confirmation_reference	hongyang_v4_hy4p_29_chromosomes	Chr01P	Chr01	verified
hongyang_v4_hy4p_map_v1	act_chinensis_hongyang_v4_hy4p	independent_confirmation_reference	hongyang_v4_hy4p_29_chromosomes	Chr02P	Chr02	verified
hongyang_v4_hy4p_map_v1	act_chinensis_hongyang_v4_hy4p	independent_confirmation_reference	hongyang_v4_hy4p_29_chromosomes	Chr03P	Chr03	verified
hongyang_v4_hy4p_map_v1	act_chinensis_hongyang_v4_hy4p	independent_confirmation_reference	hongyang_v4_hy4p_29_chromosomes	Chr04P	Chr04	verified
hongyang_v4_hy4p_map_v1	act_chinensis_hongyang_v4_hy4p	independent_confirmation_reference	hongyang_v4_hy4p_29_chromosomes	Chr05P	Chr05	verified
hongyang_v4_hy4p_map_v1	act_chinensis_hongyang_v4_hy4p	independent_confirmation_reference	hongyang_v4_hy4p_29_chromosomes	Chr06P	Chr06	verified
hongyang_v4_hy4p_map_v1	act_chinensis_hongyang_v4_hy4p	independent_confirmation_reference	hongyang_v4_hy4p_29_chromosomes	Chr07P	Chr07	verified
hongyang_v4_hy4p_map_v1	act_chinensis_hongyang_v4_hy4p	independent_confirmation_reference	hongyang_v4_hy4p_29_chromosomes	Chr08P	Chr08	verified
hongyang_v4_hy4p_map_v1	act_chinensis_hongyang_v4_hy4p	independent_confirmation_reference	hongyang_v4_hy4p_29_chromosomes	Chr09P	Chr09	verified
hongyang_v4_hy4p_map_v1	act_chinensis_hongyang_v4_hy4p	independent_confirmation_reference	hongyang_v4_hy4p_29_chromosomes	Chr10P	Chr10	verified
hongyang_v4_hy4p_map_v1	act_chinensis_hongyang_v4_hy4p	independent_confirmation_reference	hongyang_v4_hy4p_29_chromosomes	Chr11P	Chr11	verified
hongyang_v4_hy4p_map_v1	act_chinensis_hongyang_v4_hy4p	independent_confirmation_reference	hongyang_v4_hy4p_29_chromosomes	Chr12P	Chr12	verified
hongyang_v4_hy4p_map_v1	act_chinensis_hongyang_v4_hy4p	independent_confirmation_reference	hongyang_v4_hy4p_29_chromosomes	Chr13P	Chr13	verified
hongyang_v4_hy4p_map_v1	act_chinensis_hongyang_v4_hy4p	independent_confirmation_reference	hongyang_v4_hy4p_29_chromosomes	Chr14P	Chr14	verified
hongyang_v4_hy4p_map_v1	act_chinensis_hongyang_v4_hy4p	independent_confirmation_reference	hongyang_v4_hy4p_29_chromosomes	Chr15P	Chr15	verified
hongyang_v4_hy4p_map_v1	act_chinensis_hongyang_v4_hy4p	independent_confirmation_reference	hongyang_v4_hy4p_29_chromosomes	Chr16P	Chr16	verified
hongyang_v4_hy4p_map_v1	act_chinensis_hongyang_v4_hy4p	independent_confirmation_reference	hongyang_v4_hy4p_29_chromosomes	Chr17P	Chr17	verified
hongyang_v4_hy4p_map_v1	act_chinensis_hongyang_v4_hy4p	independent_confirmation_reference	hongyang_v4_hy4p_29_chromosomes	Chr18P	Chr18	verified
hongyang_v4_hy4p_map_v1	act_chinensis_hongyang_v4_hy4p	independent_confirmation_reference	hongyang_v4_hy4p_29_chromosomes	Chr19P	Chr19	verified
hongyang_v4_hy4p_map_v1	act_chinensis_hongyang_v4_hy4p	independent_confirmation_reference	hongyang_v4_hy4p_29_chromosomes	Chr20P	Chr20	verified
hongyang_v4_hy4p_map_v1	act_chinensis_hongyang_v4_hy4p	independent_confirmation_reference	hongyang_v4_hy4p_29_chromosomes	Chr21P	Chr21	verified
hongyang_v4_hy4p_map_v1	act_chinensis_hongyang_v4_hy4p	independent_confirmation_reference	hongyang_v4_hy4p_29_chromosomes	Chr22P	Chr22	verified
hongyang_v4_hy4p_map_v1	act_chinensis_hongyang_v4_hy4p	independent_confirmation_reference	hongyang_v4_hy4p_29_chromosomes	Chr23P	Chr23	verified
hongyang_v4_hy4p_map_v1	act_chinensis_hongyang_v4_hy4p	independent_confirmation_reference	hongyang_v4_hy4p_29_chromosomes	Chr24P	Chr24	verified
hongyang_v4_hy4p_map_v1	act_chinensis_hongyang_v4_hy4p	independent_confirmation_reference	hongyang_v4_hy4p_29_chromosomes	Chr25P	Chr25	verified
hongyang_v4_hy4p_map_v1	act_chinensis_hongyang_v4_hy4p	independent_confirmation_reference	hongyang_v4_hy4p_29_chromosomes	Chr26P	Chr26	verified
hongyang_v4_hy4p_map_v1	act_chinensis_hongyang_v4_hy4p	independent_confirmation_reference	hongyang_v4_hy4p_29_chromosomes	Chr27P	Chr27	verified
hongyang_v4_hy4p_map_v1	act_chinensis_hongyang_v4_hy4p	independent_confirmation_reference	hongyang_v4_hy4p_29_chromosomes	Chr28P	Chr28	verified
hongyang_v4_hy4p_map_v1	act_chinensis_hongyang_v4_hy4p	independent_confirmation_reference	hongyang_v4_hy4p_29_chromosomes	Chr29P	Chr29	verified
